Date,Ca Mau Mobilized (mn kWh),Nhon Trach 1 Mobilized (mn kWh),Nhon Trach 2 (NT2) Mobilized (mn kWh),Hua Na Mobilized (mn kWh),Dak Drinh Mobilized (mn kWh),Vung Ang Mobilized (mn kWh),POW Mobilized (mn kWh),Ca Mau Contracted (mn kWh),Nhon Trach 1 Contracted (mn kWh),Nhon Trach 2 (NT2) Contracted (mn kWh),Hua Na Contracted (mn kWh),Dak Drinh Contracted (mn kWh),Vung Ang Contracted (mn kWh),POW Contracted (mw kWh),Ca Mau Revenue (VNDbn),Nhon Trach 1 Revenue (VNDbn),Nhon Trach 2 (NT2) Revenue (VNDbn),Hua Na Revenue (VNDbn),Dak Drinh Revenue (VNDbn),Vung Ang Revenue (VNDbn),Ca Mau ASP (VND/kWh),Nhon Trach 1 ASP (VND/kWh),Nhon Trach 2 (NT2) ASP (VND/kWh),Hua Na ASP (VND/kWh),Dak Drinh ASP (VND/kWh),Vung Ang ASP (VND/kWh)
2020-03-31,745.0,122.0,428.0,14.0,30.84,751.86,2091.7,0.0,36.98,370.86,35.45,24.11,646.82,1114.22,888.6100000000001,289.62,630.0,15.0,34.0,1114.0,1192.765100671141,2373.9344262295085,1471.96261682243,1071.4285714285713,1102.4643320363166,1481.6588194610697
2020-04-30,578.94,23.71,411.55,25.55,15.62,678.97,1734.34,0.0,13.71,353.92,37.31,23.81,627.69,1056.44,753.3299999999999,66.86999999999989,587.7799999999997,34.2,3.8400000000000034,1064.4299999999998,1301.2229246554045,2820.32897511598,1428.210424006803,1338.5518590998045,245.83866837387987,1567.7128591837632
2020-05-31,666.24,98.77,411.39,45.43,41.86,780.34,2044.0300000000002,0.0,88.77,370.35,38.07,23.31,635.27,1155.77,612.6300000000001,150.51999999999998,605.3400000000001,70.42999999999999,76.72000000000001,1166.0600000000004,919.5335014409224,1523.9445175660624,1471.4504484795455,1550.2971604666518,1832.7759197324417,1494.2973575620888
2020-06-30,635.72,37.17,417.91,19.5,32.71,714.49,1857.5,0.0,27.17,356.88,44.83,22.27,551.5,1002.65,747.7400000000002,53.31000000000006,656.21,10.240000000000009,32.579999999999984,1054.54,1176.2096520480718,1434.2211460855542,1570.218468091216,525.1282051282055,996.0256802201156,1475.933882909488
2020-07-31,633.89,172.76,416.29,25.03,31.28,569.03,1848.28,0.0,156.76,346.71,39.82,26.45,415.3,985.04,956.3499999999995,271.32000000000005,620.7399999999998,36.22999999999999,33.170000000000016,792.8499999999995,1508.700247677041,1570.502431118315,1491.1239760743706,1447.4630443467834,1060.4219948849109,1393.3360279774345
2020-08-31,385.55,17.52,326.59,85.86,36.48,352.45,1204.45,0.0,28.0,352.0,53.95,24.99,314.69,773.63,696.4400000000005,20.8599999999999,489.6999999999998,84.70000000000002,54.099999999999994,535.96,1806.3545584230335,1190.639269406387,1499.4335405248166,986.4896342883767,1483.0043859649122,1520.6695985246135
2020-09-30,462.97,193.68,29.34,66.81,55.57,343.05,1151.4200000000003,0.0,265.0,28.9,83.15,17.73,276.37,671.15,637.7799999999997,301.44000000000005,53.030000000000655,78.12,84.61000000000001,518.3000000000002,1377.5838607253163,1556.38166047088,1807.4301295160412,1169.286035024697,1522.5841281266871,1510.8584754408982
2020-10-31,441.02,48.61,125.46,80.15,60.35,248.02,1003.61,0.0,65.0,292.44,67.74,36.49,533.15,994.8199999999999,694.71,83.62999999999988,296.8099999999995,74.91999999999996,50.799999999999955,650.2300000000005,1575.2346832343205,1720.4278954947517,2365.773951857162,934.7473487211473,841.7564208782097,2621.6837351826484
2020-11-30,455.46,70.45,261.45,103.88,87.25,428.75,1407.2399999999998,0.0,70.0,342.74,44.38,79.16,501.08,1037.36,772.3799999999992,101.42000000000007,427.65999999999985,99.30000000000007,77.21000000000004,843.3999999999996,1695.8240021077575,1439.6025550035497,1635.7238477720402,955.9106661532545,884.9283667621781,1967.1137026239057
2020-12-31,439.91,145.0,333.0,63.0,92.0,577.55,1650.46,0.0,170.0,351.01,36.29,81.95,537.27,1176.52,732.2800000000007,286.46000000000004,610.5600000000004,72.41999999999996,87.44999999999999,2014.83,1664.6132163397072,1975.5862068965519,1833.5135135135147,1149.523809523809,950.5434782608695,3488.581075231582
2021-01-31,579.4,4.8,281.1,33.3,80.9,675.3,1654.7999999999997,0.0,4.45,270.9,30.3,42.1,625.6,973.35,892.3,10.5,470.8,36.7,67.5,1019.0,1540.041422160856,2187.5,1674.8488082532906,1102.1021021021022,834.3634116192829,1508.9589811935439
2021-02-28,375.9,0.0,228.1,44.1,44.1,550.1,1242.3000000000002,0.0,3.44,244.7,33.4,19.2,563.67,864.4099999999999,709.0,2.8000000000000007,401.09999999999997,59.7,64.69999999999999,873.0,1886.1399308326684,,1758.4392810170978,1353.7414965986395,1467.1201814058954,1586.984184693692
2021-03-31,520.7,5.3,444.79999999999995,45.599999999999994,42.0,683.5999999999999,1742.0,0.0,4.88,271.0,30.88,27.0,625.6,959.36,898.0000000000002,10.899999999999999,670.5000000000001,55.900000000000006,50.20000000000002,1049.0,1724.601497983484,2056.6037735849054,1507.4190647482017,1225.8771929824563,1195.2380952380956,1534.5231129315391
2021-04-30,504.3,106.3,400.5,21.5,34.9,697.7,1765.2,0.0,83.21,262.0,25.46,27.66,605.42,1003.75,939.2999999999997,178.60000000000002,631.2999999999997,27.599999999999994,39.099999999999994,1055.3000000000002,1862.5817965496722,1680.1505174035751,1576.2796504369533,1283.7209302325577,1120.3438395415474,1512.5412068224166
2021-05-31,459.3,50.1,263.6,12.9,26.7,674.0,1486.6,0.0,53.57,270.0,19.79,30.4,505.93,879.69,871.5999999999999,98.39999999999998,543.4000000000001,21.599999999999994,33.400000000000006,968.3999999999996,1897.67036795123,1964.0718562874247,2061.456752655539,1674.4186046511622,1250.936329588015,1436.7952522255187
2021-06-30,493.0,24.0,272.0,75.0,40.0,677.0,1581.0,0.0,20.75,262.0,42.54,26.52,384.5,736.31,986.1000000000004,47.60000000000002,473.5999999999999,94.80000000000001,42.49999999999997,991.5,2000.202839756593,1983.3333333333344,1741.176470588235,1264.0000000000002,1062.4999999999993,1464.5494830132939
2021-07-31,325.0,125.0,230.0,57.0,28.0,571.0,1336.0,0.0,240.29,328.0,42.94,27.47,365.89,1004.59,577.5,327.99999999999994,495.0,68.69999999999999,25.600000000000023,806.8000000000002,1776.923076923077,2623.9999999999995,2152.173913043478,1205.2631578947367,914.2857142857151,1412.9597197898427
2021-08-31,231.9,110.8,155.0,50.6,22.7,392.8,963.8,0.0,311.7,315.0,62.65,24.91,229.74,944.0,574.5,393.9000000000001,507.8000000000002,73.30000000000001,30.899999999999977,556.0,2477.3609314359637,3555.0541516245494,3276.1290322580658,1448.616600790514,1361.2334801762104,1415.478615071283
2021-09-30,187.5,1.3,75.5,52.7,52.0,33.8,402.8,0.0,4.66,262.0,72.54,25.48,210.67,575.35,311.5,35.299999999999955,267.5,53.19999999999999,91.80000000000001,127.0,1661.3333333333333,27153.846153846116,3543.046357615894,1009.4876660341554,1765.3846153846155,3757.3964497041425
2021-10-31,146.3,3.9,259.0,69.5,70.3,47.3,596.3,0.0,4.84,270.0,59.22,40.54,323.55,698.15,273.1999999999998,14.0,499.0,76.29999999999995,69.30000000000001,82.60000000000036,1867.3957621326028,3589.74358974359,1926.6409266409266,1097.8417266187043,985.7752489331439,1746.3002114164983
2021-11-30,233.0,4.5,266.43,57.4,89.0,204.0,854.33,0.0,4.61,262.0,30.46,78.93,375.54,751.54,432.0,14.5,514.0,61.0,81.0,333.0,1854.0772532188842,3222.222222222222,1929.212175806028,1062.7177700348432,910.1123595505618,1632.3529411764705
2021-12-31,277.0,9.0,297.0,43.0,91.0,347.0,1064.0,0.0,4.7,271.0,29.24,76.98,478.05,859.97,200.0,14.5,514.0,61.0,81.0,333.0,722.0216606498195,1611.111111111111,1730.6397306397305,1418.6046511627908,890.1098901098901,959.6541786743516
2022-01-31,208.0,178.0,351.0,42.5,85.0,327.0,1191.5,229.0,214.0,374.0,39.0,45.0,236.0,908.0,397.0,396.0,741.0,45.0,93.0,482.0,1908.6538461538462,2224.7191011235955,2111.1111111111113,1058.8235294117646,1094.1176470588236,1474.006116207951
2022-02-28,311.0,177.4,154.8,45.0,47.0,154.0,889.2,245.0,128.0,18.0,31.0,25.0,214.0,416.0,568.0,340.0,249.0,70.0,64.0,269.0,1826.3665594855306,1916.5727170236753,1608.5271317829456,1555.5555555555557,1361.7021276595744,1746.7532467532467
2022-03-31,417.0,213.0,489.0,55.0,58.0,340.0,1572.0,513.0,0.0,371.0,27.0,26.0,282.0,706.0,973.0,394.4,978.5,104.0,82.5,870.0,2333.3333333333335,1851.643192488263,2001.0224948875255,1890.9090909090908,1422.4137931034481,2558.8235294117644
2022-04-30,335.0,226.0,448.0,46.0,61.0,294.0,1410.0,513.0,61.0,379.0,29.0,23.0,276.0,768.0,729.9,467.5,915.0,67.0,98.9,545.0,2178.8059701492534,2068.5840707964603,2042.4107142857144,1456.5217391304348,1621.311475409836,1853.7414965986395
2022-05-31,396.0,8.2,381.0,29.0,39.0,277.5,1130.7,378.0,0.0,390.0,30.0,24.0,289.0,733.0,865.0,19.5,873.0,32.0,43.3,598.0,2184.343434343434,2378.0487804878053,2291.3385826771655,1103.4482758620688,1110.2564102564102,2154.954954954955
2022-06-30,196.0,21.399999999999977,352.20000000000005,72.5,58.0,253.5,953.6,506.0,0.0,376.0,37.0,29.0,256.0,698.0,446.5,45.5,833.7,83.0,59.6,609.4,2278.0612244897957,2126.168224299068,2367.120954003407,1144.8275862068965,1027.5862068965519,2403.944773175542
2022-07-31,228.0,1.8,359.0,83.0,54.0,253.0,978.8,346.0,0.0,389.0,54.0,27.0,201.0,671.0,599.6,48.9,842.0,115.6,68.8,533.8,2629.8245614035086,27166.666666666664,2345.4038997214484,1392.7710843373493,1274.074074074074,2109.881422924901
2022-08-31,145.0,89.0,367.0,92.0,41.0,233.0,967.0,161.0,0.0,380.0,65.0,25.0,233.0,703.0,296.0,147.0,790.0,116.0,36.0,482.0,2041.3793103448277,1651.685393258427,2152.588555858311,1260.8695652173913,878.0487804878048,2068.669527896996
2022-09-30,248.0,74.0,171.0,131.0,75.0,306.0,1005.0,379.0,53.0,35.0,72.0,26.0,246.0,432.0,459.6,155.0,318.4,186.2,77.5,624.8,1853.225806451613,2094.5945945945946,1861.9883040935672,1421.3740458015268,1033.3333333333335,2041.830065359477
2022-10-31,349.0,40.5,229.85,124.0,84.9,174.5,1002.75,373.0,20.0,31.0,58.0,40.0,481.0,630.0,638.9,83.2,416.3,173.1,86.3,461.0,1830.6590257879657,2054.320987654321,1811.181205133783,1395.967741935484,1016.4899882214369,2641.833810888252
2022-11-30,472.9,129.2,390.7,70.4,82.5,303.7,1449.4,424.0,0.0,338.0,30.0,78.0,475.0,921.0,906.4,230.0,800.0,113.0,80.3,628.0,1916.6842884330727,1780.1857585139321,2047.6068594829794,1605.1136363636363,973.3333333333333,2067.8300954889696
